user_id,favorite_genre,genre_rating_count
468,Drama,81
403,Comedy,18
546,Action,22
771,Comedy,28
200,Action,79
167,Drama,26
190,Thriller,27
387,Drama,116
536,Drama,62
12,Drama,24
90,Drama,173
883,Drama,124
899,Drama,48
360,Drama,58
707,Drama,145
629,Drama,66
932,Drama,92
158,Action,81
348,Comedy,23
275,Action,42
97,Drama,22
562,Drama,27
806,Drama,54
357,Comedy,27
793,Drama,21
442,Action,62
524,Drama,130
712,Comedy,77
104,Drama,57
717,Drama,40
102,Action,101
882,Comedy,45
305,Drama,114
106,Drama,40
48,Drama,30
101,Comedy,25
299,Drama,126
850,Comedy,20
872,Comedy,27
480,Drama,28
470,Drama,33
647,Action,27
43,Comedy,87
552,Comedy,33
927,Comedy,57
130,Action,120
8,Action,39
711,Drama,108
527,Drama,78
25,Comedy,26
181,Drama,188
321,Drama,74
230,Drama,50
367,Horror,31
14,Drama,39
683,Drama,42
180,Drama,28
267,Action,74
825,Drama,50
89,Drama,39
216,Drama,57
243,Drama,59
189,Drama,96
15,Drama,48
244,Comedy,101
851,Drama,69
99,Drama,53
222,Comedy,131
160,Drama,51
11,Drama,82
280,Drama,87
151,Drama,137
588,Drama,95
154,Drama,25
451,Drama,38
686,Drama,36
880,Comedy,154
224,Drama,104
152,Comedy,54
495,Action,71
135,Thriller,28
715,Action,65
540,Drama,28
450,Drama,237
734,Drama,28
933,Comedy,71
239,Drama,76
489,Drama,38
7,Drama,146
226,Drama,28
896,Drama,138
757,Action,92
586,Action,83
56,Comedy,81
294,Action,58
903,Drama,67
18,Drama,141
889,Drama,125
528,Comedy,17
385,Drama,123
752,Drama,36
6,Drama,104
684,Comedy,50
648,Comedy,114
42,Drama,66
320,Action,75
831,Drama,34
159,Comedy,43
23,Drama,54
886,Drama,91
221,Action,54
493,Action,55
122,Drama,47
868,Comedy,73
476,Comedy,69
534,Comedy,29
936,Drama,68
735,Drama,30
401,Drama,64
292,Drama,48
234,Drama,213
293,Drama,165
610,Drama,35
452,Drama,88
447,Drama,48
449,Drama,41
87,Comedy,113
395,Drama,23
795,Comedy,76
426,Drama,37
747,Drama,132
399,Drama,103
70,Action,48
393,Comedy,191
582,Action,21
371,Action,20
561,Drama,155
100,Drama,31
464,Thriller,24
295,Drama,73
308,Drama,163
782,Drama,92
860,Drama,38
805,Comedy,95
52,Drama,30
311,Drama,126
435,Comedy,128
329,Drama,30
272,Drama,22
178,Drama,99
323,Drama,46
538,Drama,41
248,Action,24
733,Drama,71
548,Thriller,67
514,Drama,83
95,Drama,97
608,Drama,103
758,Drama,123
144,Drama,116
567,Drama,72
501,Drama,29
780,Drama,26
423,Drama,44
274,Drama,27
5,Comedy,82
751,Comedy,68
28,Thriller,31
844,Action,32
455,Drama,99
343,Drama,119
890,Drama,42
350,Drama,19
383,Drama,46
526,Drama,32
141,Comedy,37
412,Drama,22
396,Thriller,32
119,Drama,82
253,Drama,36
650,Drama,102
330,Comedy,53
327,Drama,113
213,Drama,56
804,Comedy,105
840,Drama,85
328,Drama,135
497,Action,107
13,Drama,218
379,Comedy,72
54,Thriller,30
658,Drama,37
75,Comedy,35
338,Comedy,32
632,Drama,47
541,Comedy,52
287,Comedy,23
268,Comedy,118
314,Comedy,111
523,Comedy,57
145,Drama,102
370,Drama,28
545,Action,81
847,Comedy,57
84,Drama,26
94,Drama,155
709,Action,72
62,Drama,108
573,Drama,28
487,Drama,84
938,Comedy,40
821,Drama,28
568,Drama,41
923,Thriller,26
318,Comedy,84
138,Drama,25
24,Drama,37
710,Drama,40
164,Thriller,33
924,Drama,41
788,Drama,105
798,Comedy,110
115,Drama,41
271,Drama,134
453,Drama,59
741,Comedy,40
256,Action,73
627,Drama,96
617,Horror,46
940,Drama,48
897,Action,57
930,Comedy,25
761,Drama,31
708,Comedy,41
344,Drama,83
334,Drama,174
592,Drama,162
776,Horror,31
697,Thriller,38
92,Drama,133
600,Action,75
569,Drama,30
716,Drama,101
413,Drama,29
826,Action,78
232,Drama,58
865,Comedy,21
705,Action,59
557,Drama,28
96,Drama,17
184,Drama,141
492,Drama,39
790,Comedy,103
503,Drama,86
113,Drama,28
848,Drama,58
398,Comedy,73
83,Comedy,74
601,Drama,59
421,Thriller,24
262,Drama,64
373,Drama,90
332,Thriller,77
770,Drama,27
44,Drama,51
693,Drama,81
934,Drama,68
901,Comedy,56
345,Drama,125
892,Comedy,69
116,Drama,72
121,Drama,43
432,Comedy,24
372,Thriller,33
315,Drama,35
249,Drama,61
870,Drama,124
698,Drama,46
690,Comedy,66
566,Drama,66
488,Drama,71
478,Comedy,48
587,Drama,37
246,Action,69
479,Action,75
694,Drama,68
542,Comedy,71
430,Drama,32
10,Drama,81
465,Drama,37
560,Drama,39
407,Comedy,91
81,Comedy,24
394,Action,73
227,Drama,29
436,Drama,65
854,Drama,105
1,Drama,107
486,Drama,92
288,Drama,48
894,Drama,146
533,Drama,112
638,Action,49
912,Drama,22
188,Drama,44
839,Drama,26
634,Drama,63
802,Horror,34
881,Comedy,83
679,Comedy,24
198,Drama,72
347,Action,75
307,Action,38
620,Children's,44
682,Drama,137
445,Drama,53
871,Drama,53
193,Comedy,42
863,Drama,46
466,Action,58
38,Comedy,43
606,Drama,83
392,Drama,57
298,Drama,51
187,Drama,31
454,Drama,110
291,Comedy,93
830,Action,45
57,Comedy,46
753,Drama,29
843,Drama,63
645,Drama,59
82,Drama,58
551,Drama,128
787,Drama,26
504,Drama,104
498,Drama,70
472,Action,101
283,Comedy,36
766,Drama,68
749,Action,105
397,Drama,47
911,Comedy,35
257,Drama,40
535,Drama,127
380,Drama,78
605,Drama,49
719,Drama,38
913,Drama,53
643,Comedy,74
543,Drama,83
921,Comedy,42
65,Drama,46
907,Drama,70
653,Drama,103
481,Comedy,26
85,Drama,152
554,Drama,48
207,Drama,100
402,Drama,29
63,Drama,42
768,Drama,28
664,Drama,79
382,Drama,33
862,Drama,61
500,Drama,108
201,Drama,196
537,Drama,251
918,Drama,54
815,Drama,70
630,Drama,40
666,Drama,103
521,Action,68
748,Drama,47
654,Drama,53
195,Drama,40
633,Action,29
618,Drama,108
411,Action,27
525,Drama,22
236,Drama,62
168,Comedy,25
585,Drama,68
676,Comedy,27
354,Drama,136
773,Drama,61
637,Drama,49
109,Action,87
908,Drama,29
177,Drama,52
417,Comedy,127
409,Drama,101
724,Drama,34
342,Drama,102
457,Drama,116
235,Drama,48
704,Drama,47
577,Comedy,64
206,Drama,32
756,Action,37
339,Drama,110
699,Drama,56
123,Drama,33
218,Comedy,26
745,Drama,35
507,Action,30
823,Drama,68
41,Drama,24
559,Drama,33
553,Drama,48
639,Drama,94
264,Comedy,63
361,Drama,53
463,Drama,59
286,Comedy,131
374,Drama,97
118,Drama,28
194,Drama,126
456,Drama,95
60,Drama,85
391,Drama,66
642,Comedy,141
835,Drama,61
864,Drama,109
774,Action,83
508,Comedy,33
490,Drama,25
655,Drama,410
669,Drama,49
365,Drama,29
539,Drama,37
297,Drama,67
254,Children's,52
428,Drama,22
77,Drama,31
425,Action,111
660,Action,91
893,Action,24
878,Drama,76
110,Action,50
91,Drama,46
128,Drama,85
363,Drama,108
251,Action,31
778,Drama,25
796,Drama,129
919,Drama,108
214,Drama,69
429,Drama,167
117,Action,32
942,Drama,31
255,Thriller,42
331,Drama,40
834,Drama,32
215,Drama,40
389,Comedy,120
916,Drama,134
324,Drama,31
836,Drama,26
378,Drama,170
828,Drama,72
786,Drama,49
125,Comedy,118
197,Action,76
416,Drama,212
875,Drama,50
499,Drama,47
26,Drama,41
276,Drama,168
591,Comedy,48
21,Thriller,66
496,Drama,52
250,Drama,42
326,Drama,61
406,Drama,151
922,Comedy,47
316,Drama,52
336,Comedy,100
72,Drama,67
174,Comedy,90
49,Comedy,88
877,Drama,42
460,Drama,44
659,Drama,86
69,Drama,28
943,Action,64
325,Drama,62
22,Comedy,72
437,Drama,117
233,Drama,63
833,Drama,97
663,Drama,72
459,Action,42
217,Action,69
579,Comedy,43
619,Action,72
277,Drama,29
313,Drama,85
838,Drama,34
458,Drama,98
346,Action,81
2,Drama,35
640,Comedy,45
721,Drama,85
484,Action,68
731,Drama,42
263,Drama,55
269,Drama,148
727,Action,132
157,Drama,21
624,Drama,63
885,Comedy,46
176,Drama,36
